number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta1,params_beta2,params_learning_rate,state
0,6335.729068671085,2025-06-18 10:44:29.780652,2025-06-18 10:44:29.838511,0 days 00:00:00.057859,16,0.8984656905330368,0.9793122888383368,0.018425480287333467,COMPLETE
1,4380.09884323361,2025-06-18 10:44:29.838717,2025-06-18 10:44:29.900426,0 days 00:00:00.061709,16,0.9091849369189314,0.9864244118989259,0.02380168362913061,COMPLETE
2,16547.193069609926,2025-06-18 10:44:29.900648,2025-06-18 10:44:29.960562,0 days 00:00:00.059914,16,0.8718538592247898,0.9355124189255696,0.0012759407917835677,COMPLETE
3,17206.432914611727,2025-06-18 10:44:29.960775,2025-06-18 10:44:29.979447,0 days 00:00:00.018672,64,0.9318452141353624,0.9118699583963368,0.0014171776075842858,COMPLETE
4,8477.432620999773,2025-06-18 10:44:29.979657,2025-06-18 10:44:30.040106,0 days 00:00:00.060449,16,0.8529567833899818,0.96323158278815,0.013802632712456504,COMPLETE
5,16926.229422071814,2025-06-18 10:44:30.040324,2025-06-18 10:44:30.055042,0 days 00:00:00.014718,128,0.8897447060042245,0.9255108576452015,0.004499086177856914,COMPLETE
6,10870.541468368896,2025-06-18 10:44:30.055254,2025-06-18 10:44:30.069541,0 days 00:00:00.014287,128,0.872761721013076,0.9599248883053613,0.0556017460667665,COMPLETE
7,17398.639941290534,2025-06-18 10:44:30.069749,2025-06-18 10:44:30.091641,0 days 00:00:00.021892,64,0.8012586363462081,0.9977751992356162,0.0006521837802854979,COMPLETE
8,16205.187895405797,2025-06-18 10:44:30.091862,2025-06-18 10:44:30.126216,0 days 00:00:00.034354,32,0.9697105648777861,0.9215806889917613,0.003069187328631482,COMPLETE
9,17384.25672367767,2025-06-18 10:44:30.126452,2025-06-18 10:44:30.185891,0 days 00:00:00.059439,16,0.8861036170812787,0.9855302310990907,0.00022158196937608116,COMPLETE
10,402.7731938989976,2025-06-18 10:44:30.186095,2025-06-18 10:44:30.222128,0 days 00:00:00.036033,32,0.9862529913356733,0.9470898403978083,0.08025619868896092,COMPLETE
11,2569.1139366755797,2025-06-18 10:44:30.222320,2025-06-18 10:44:30.257305,0 days 00:00:00.034985,32,0.997300138419762,0.9447420944490227,0.08935465400807675,COMPLETE
12,3226.719340881644,2025-06-18 10:44:30.257509,2025-06-18 10:44:30.292002,0 days 00:00:00.034493,32,0.9980561398845723,0.9443265074460634,0.08981682291367442,COMPLETE
13,3666.0286751170283,2025-06-18 10:44:30.292207,2025-06-18 10:44:30.329793,0 days 00:00:00.037586,32,0.9677630411411902,0.9544173903467861,0.046683627948712336,COMPLETE
14,13934.197091910857,2025-06-18 10:44:30.330019,2025-06-18 10:44:30.367579,0 days 00:00:00.037560,32,0.9949811517905881,0.901109946477486,0.008426436541282735,COMPLETE
15,383.53285266499046,2025-06-18 10:44:30.367773,2025-06-18 10:44:30.407110,0 days 00:00:00.039337,32,0.9485543802574226,0.9430348759714284,0.09811229673353347,COMPLETE
16,6785.334462923848,2025-06-18 10:44:30.407332,2025-06-18 10:44:30.443450,0 days 00:00:00.036118,32,0.9396389276246355,0.9704329763533698,0.031812202802652415,COMPLETE
17,17493.886168892754,2025-06-18 10:44:30.443649,2025-06-18 10:44:30.481095,0 days 00:00:00.037446,32,0.9639540456201192,0.9318854629143435,0.00015333244177734642,COMPLETE
18,13767.522689124287,2025-06-18 10:44:30.481296,2025-06-18 10:44:30.517370,0 days 00:00:00.036074,32,0.9383600313983493,0.9408125368978871,0.00906546388491464,COMPLETE
19,11576.11555634113,2025-06-18 10:44:30.517605,2025-06-18 10:44:30.537557,0 days 00:00:00.019952,128,0.9546155054136797,0.9555652631834322,0.04803907644171923,COMPLETE
20,16350.077169399772,2025-06-18 10:44:30.537790,2025-06-18 10:44:30.565289,0 days 00:00:00.027499,64,0.9191657114875549,0.9686734486079741,0.004918495289670742,COMPLETE
21,452.7689833057372,2025-06-18 10:44:30.565505,2025-06-18 10:44:30.601083,0 days 00:00:00.035578,32,0.9831653782465701,0.9452546832262437,0.07773098908465224,COMPLETE
22,405.23705360419916,2025-06-18 10:44:30.601302,2025-06-18 10:44:30.637696,0 days 00:00:00.036394,32,0.9805427297747201,0.9465405915562547,0.09287291449467228,COMPLETE
23,6434.123341335551,2025-06-18 10:44:30.637896,2025-06-18 10:44:30.672746,0 days 00:00:00.034850,32,0.9515427944635501,0.9319290012215555,0.03284119443331661,COMPLETE
24,3604.433577113579,2025-06-18 10:44:30.672964,2025-06-18 10:44:30.707672,0 days 00:00:00.034708,32,0.9779340644463326,0.9510944679688853,0.04643438360381958,COMPLETE
25,424.0319401236143,2025-06-18 10:44:30.707895,2025-06-18 10:44:30.744751,0 days 00:00:00.036856,32,0.9830488212716072,0.9190394819823134,0.08888928974995824,COMPLETE
26,12016.038704846025,2025-06-18 10:44:30.744955,2025-06-18 10:44:30.781993,0 days 00:00:00.037038,32,0.9531844198297282,0.937793879748226,0.013783507016215427,COMPLETE
27,5585.763992616864,2025-06-18 10:44:30.782194,2025-06-18 10:44:30.818539,0 days 00:00:00.036345,32,0.9252438513120248,0.9500989523164265,0.03696202387667044,COMPLETE
28,12750.401245391591,2025-06-18 10:44:30.818717,2025-06-18 10:44:30.841629,0 days 00:00:00.022912,64,0.9484700444303193,0.9275972234024693,0.02108763078181068,COMPLETE
29,10057.896856371479,2025-06-18 10:44:30.841856,2025-06-18 10:44:30.863223,0 days 00:00:00.021367,128,0.9804714279036782,0.9718030078661146,0.0623633840450102,COMPLETE
30,10945.374591274085,2025-06-18 10:44:30.863442,2025-06-18 10:44:30.900205,0 days 00:00:00.036763,32,0.9111049583654207,0.9634340859895336,0.01703540417712194,COMPLETE
31,443.15859987393816,2025-06-18 10:44:30.900416,2025-06-18 10:44:30.936930,0 days 00:00:00.036514,32,0.9847683304623552,0.9132141208176275,0.08577259690101706,COMPLETE
32,8104.082407885166,2025-06-18 10:44:30.937132,2025-06-18 10:44:30.973670,0 days 00:00:00.036538,32,0.961695930016169,0.9053841015704893,0.02609870885119696,COMPLETE
33,398.37924856048306,2025-06-18 10:44:30.973902,2025-06-18 10:44:31.012013,0 days 00:00:00.038111,32,0.978666086781325,0.9155181683657563,0.09323285063483086,COMPLETE
34,384.0038599120942,2025-06-18 10:44:31.012207,2025-06-18 10:44:31.075703,0 days 00:00:00.063496,16,0.9720692324226821,0.9354892382862203,0.058840399933612585,COMPLETE
35,383.9875656970515,2025-06-18 10:44:31.075920,2025-06-18 10:44:31.140988,0 days 00:00:00.065068,16,0.969282116755346,0.9149201066523678,0.059949354894400265,COMPLETE
36,1107.840054975028,2025-06-18 10:44:31.141195,2025-06-18 10:44:31.203892,0 days 00:00:00.062697,16,0.9397072141464886,0.915721767276715,0.03680841198057011,COMPLETE
37,4147.000751027354,2025-06-18 10:44:31.204172,2025-06-18 10:44:31.267316,0 days 00:00:00.063144,16,0.9636134741445529,0.9095280582384787,0.023525804417240528,COMPLETE
38,10299.756601250061,2025-06-18 10:44:31.267529,2025-06-18 10:44:31.330169,0 days 00:00:00.062640,16,0.9048700107670334,0.9273203148859723,0.010407656410081546,COMPLETE
39,17086.279865334156,2025-06-18 10:44:31.330370,2025-06-18 10:44:31.395332,0 days 00:00:00.064962,16,0.8326255054296648,0.9353996902729863,0.000594146672749824,COMPLETE
40,15983.621940347324,2025-06-18 10:44:31.395555,2025-06-18 10:44:31.457545,0 days 00:00:00.061990,16,0.9731730506819458,0.9204252807874829,0.00198143693856603,COMPLETE
41,382.72575619846015,2025-06-18 10:44:31.457761,2025-06-18 10:44:31.523049,0 days 00:00:00.065288,16,0.9886950361517022,0.9241591173886318,0.06044689364929972,COMPLETE
42,381.66125770255684,2025-06-18 10:44:31.523272,2025-06-18 10:44:31.589800,0 days 00:00:00.066528,16,0.9715761844192478,0.9239496138830738,0.049940262633126606,COMPLETE
43,383.887331527425,2025-06-18 10:44:31.590001,2025-06-18 10:44:31.656070,0 days 00:00:00.066069,16,0.9578805672274289,0.9235389833109708,0.05741502259084828,COMPLETE
44,383.64392604076903,2025-06-18 10:44:31.656302,2025-06-18 10:44:31.723675,0 days 00:00:00.067373,16,0.9283922263148543,0.9255902493135629,0.057443863522964725,COMPLETE
45,7005.774927777075,2025-06-18 10:44:31.723900,2025-06-18 10:44:31.788137,0 days 00:00:00.064237,16,0.9298872201765274,0.9230133317312539,0.016636520341785647,COMPLETE
46,631.6897581622461,2025-06-18 10:44:31.788353,2025-06-18 10:44:31.851131,0 days 00:00:00.062778,16,0.945798213789251,0.9302039143557994,0.04158216067259213,COMPLETE
47,384.16996440751063,2025-06-18 10:44:31.851447,2025-06-18 10:44:31.917687,0 days 00:00:00.066240,16,0.8920981429874845,0.9244671076670851,0.06376656271479103,COMPLETE
48,4295.7013579046325,2025-06-18 10:44:31.917886,2025-06-18 10:44:31.979858,0 days 00:00:00.061972,16,0.9197358894624504,0.9400174304399035,0.023478128695314907,COMPLETE
49,2554.7652607756504,2025-06-18 10:44:31.980075,2025-06-18 10:44:32.042748,0 days 00:00:00.062673,16,0.9587505710450548,0.9096564060064098,0.028961668192052904,COMPLETE
