number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay_rate,params_decay_steps,params_drop_rate,params_epochs_drop,params_l1_reg,params_l2_reg,params_learning_rate,params_scheduler_type,state
0,383.92694643018314,2025-06-18 10:44:27.727217,2025-06-18 10:44:27.772176,0 days 00:00:00.044959,16,0.8132256210771052,,,,0.006822791590304796,0.0008547272054512458,0.047454720760783164,inverse,COMPLETE
1,383.7359961757117,2025-06-18 10:44:27.772460,2025-06-18 10:44:27.815785,0 days 00:00:00.043325,16,0.20720411666219418,,,,0.044766713237676274,0.0003634682377444883,0.0093749710342998,inverse,COMPLETE
2,17236.505458574557,2025-06-18 10:44:27.816011,2025-06-18 10:44:27.830700,0 days 00:00:00.014689,128,,,0.6381727980610293,12.0,0.006191077474218698,0.0010819727958292543,3.684616643728065e-05,step,COMPLETE
3,3341.641946429829,2025-06-18 10:44:27.830904,2025-06-18 10:44:27.841616,0 days 00:00:00.010712,128,0.96606024897575,8.0,,,0.19663780990193963,0.6684648635981597,0.029193275677693295,exponential,COMPLETE
4,384.09907131151544,2025-06-18 10:44:27.841817,2025-06-18 10:44:27.865202,0 days 00:00:00.023385,32,0.8471996706834107,4.0,,,0.07878771734416985,0.001447808931651982,0.023751829154834665,exponential,COMPLETE
5,394.2974386680555,2025-06-18 10:44:27.865429,2025-06-18 10:44:27.909766,0 days 00:00:00.044337,16,0.8136971590512498,10.0,,,0.0005951764191945781,0.010599670559429706,0.0942965646022019,exponential,COMPLETE
6,13085.900407045798,2025-06-18 10:44:27.910015,2025-06-18 10:44:27.935453,0 days 00:00:00.025438,32,0.510213400813392,,,,0.32899709226602664,0.22401328761817965,0.0006815887976764513,inverse,COMPLETE
7,5424.1494918665585,2025-06-18 10:44:27.935679,2025-06-18 10:44:27.979309,0 days 00:00:00.043630,16,0.8191827208342431,5.0,,,0.20685282733745552,0.06037602702693613,0.00044029772195708047,exponential,COMPLETE
8,17243.849985334888,2025-06-18 10:44:27.979571,2025-06-18 10:44:27.991618,0 days 00:00:00.012047,128,,,,,0.029100814809856355,0.06535655286417942,1.952868540420047e-05,constant,COMPLETE
9,6900.756279694061,2025-06-18 10:44:27.991859,2025-06-18 10:44:28.035324,0 days 00:00:00.043465,16,,,,,0.18007642928000167,0.5484290942722604,0.00018271515893098498,constant,COMPLETE
